,Date,nps,Comment,comment
86,01-12-23 17:51,2,You didn't accept the card I wanted to use which was a visa so I had to use another one which was inconvenient. And the flight was expensive and I can't even bring a checked bag that weighs more than 33? also ridiculous,ALL FAST
87,01-12-23 17:53,10,TODO FACIL,You didn't accept the card I wanted to use which was a visa so I had to use another one which was inconvenient. And the flight was expensive and I can't even bring a checked bag that weighs more than 33? also ridiculous
88,01-12-23 18:01,9,demasiada informacion repetida si no le sabes puedes agregar costos adicionales,for the practicality to buy the flights
89,01-12-23 18:01,10,facil de entender,ALL EASY
90,01-12-23 18:03,10,TARIFAS ECONOMICAS AL ALCANCE DE TODOS,too much repeated information if you do not know you can add additional costs
91,01-12-23 18:04,10,"ES MUY FACIL INTERACTUAR CON ELLA PARA LA COMPRA DE VUELOS, CHECK IN Y REVISIÓN DE OTROS TEMAS DE INTERES COMO COTIZAR...",easy to understand
92,01-12-23 18:15,10,Amazing!,ECONOMIC RATES ACCESSIBLE TO EVERYONE
93,01-12-23 18:16,10,Muy intuitiva,"IT IS VERY EASY TO INTERACT WITH IT TO PURCHASE FLIGHTS, CHECK IN AND REVIEW OTHER TOPICS OF INTEREST SUCH AS GETTING A QUOTE..."
94,01-12-23 18:17,10,muy facil de usar y rapido,Amazing!
95,01-12-23 18:17,10,Muy facil,very intuitive
96,01-12-23 18:18,0,en lo que hacia el pago me dieron que ya no estaba disponible la tarifa,very easy to use and fast
97,01-12-23 18:18,10,"Muy amigable al navegar, se entiende todo. Funciona rápido.",Very easy
98,01-12-23 18:19,10,EXCELENTE SERVICIO,"As for the payment, they told me that the rate was no longer available"
99,01-12-23 18:23,10,EXCELENTES PRECIOS,"Very friendly when browsing, everything is understood. It works fast."
100,01-12-23 18:24,9,nomas,EXCELLENT SERVICE
101,01-12-23 18:27,0,BAJAR LOS PRECIOS,EXCELLENT PRICES
102,01-12-23 18:29,0,meses sin interes,rentals
103,01-12-23 18:30,7,Dejar de poner por default opciones como seguros y demás que solo hacen que gastes más e igual poner los precios desde el inicio ya con TUA,CUT PRICES
104,01-12-23 18:31,7,Hagan más fácil el hacer cambios antes de pagar,months without interest
105,01-12-23 18:32,10,eficiencia,Stop putting default options such as insurance and others that only make you spend more and still set prices from the beginning with TUA
106,01-12-23 18:32,10,es muy facil para reservar ademas de buenas tarifas,Make it easy to make changes before paying
107,01-12-23 18:34,10,facil y rapida,It is very easy to book in addition to good rates
108,01-12-23 18:34,7,Meten muchos pasos inecesarios,efficiency
109,01-12-23 18:35,10,es sencillo navegar en ella y se entiende bien,easy and fast
110,01-12-23 18:38,10,TODO BIEN,They put a lot of unnecessary steps
111,01-12-23 18:39,10,"BUENOS PRECIOS, BUEN SERVICIO LO ÚNICO MALO QUE SIEMPRE TIENEN RETRASOS EN SUS VUELOS",it is easy to navigate in it and it is well understood
112,01-12-23 18:40,8,mejores precios en los asientos,ALL GOOD
113,01-12-23 18:42,2,No me dejo hacer pago con tarjetas,"GOOD PRICES, GOOD SERVICE THE ONLY BAD THING THAT THEY ALWAYS HAVE DELAYS IN THEIR FLIGHTS"
114,01-12-23 18:43,9,Es muy accesible,best prices on seats
115,01-12-23 18:44,9,muy buena su pagina con información explicita y rápida... gracias,It won't let me pay with cards
116,01-12-23 18:50,10,Fácil y rápido,It is very accessible
117,01-12-23 18:54,10,bendiciones,Your page is very good with explicit and quick information... thank you
118,01-12-23 18:54,10,Por la opción de  cierta cantidad de cambios sin costo.,Fast and easy
119,01-12-23 18:56,10,rapidez,For the option of a certain number of changes at no cost.
120,01-12-23 18:56,9,Muy amigable la pagina,blessings
121,01-12-23 18:57,9,"Porque tienen variedad de horarios y destinos y aunque es molesto que cobren por todos los extras, sus multiples destinos ayudan mucho.",Very friendly page
122,01-12-23 18:59,10,Excelente servicio,speed
123,01-12-23 18:59,9,los horarios y escalas son muy extenss,"Because they have a variety of schedules and destinations and although it is annoying that they charge for all the extras, their multiple destinations help a lot."
124,01-12-23 19:00,8,muchos clics,Excellent service
125,01-12-23 19:01,8,Mas consejos para primerisos por que soy primerizo y no estaba seguro de algunas cosas,the schedules and scales are very extensive
126,01-12-23 19:01,9,rapido y acceso facil,many clicks
127,01-12-23 19:02,10,excelente portal,More tips for first-timers because I'm new and I wasn't sure about some things
128,01-12-23 19:08,9,"Es facil, pero ofrece muchas cosas que creo no necesito, algo molesto, pero no como para no usarla o recomendarla",fast and easy access
129,01-12-23 19:09,10,precios accesibles y gran servicio al cliente,excellent portal
130,01-12-23 19:10,10,Practico,"It's easy, but it offers many things that I don't think I need, something annoying, but not enough not to use it or recommend it"
131,01-12-23 19:15,8,NO HACIENDO CANCELACIONES NI CAMBIOS DE HORARIOS A ULTIMA HORA.  RESPETAR LO QUE SE COMPRO,affordable prices and great customer service
132,01-12-23 19:16,10,EL SISTEMA DE COMPRAS ESTÁ MUY AGIL.,Practical
133,01-12-23 19:22,10,muy buen servicio,NOT MAKING CANCELLATIONS OR CHANGES OF SCHEDULES AT THE LAST MINUTE. RESPECT WHAT YOU BOUGHT
134,01-12-23 19:27,10,LO PUDE HACER,THE PURCHASING SYSTEM IS VERY AGILE.
135,01-12-23 19:29,10,GRACIAS,very good service
136,01-12-23 19:30,10,EL SERVICIO EN LA PLATAFORMA ES EXCELENTE,I COULD DO IT
137,01-12-23 19:30,9,"sencillo y claro, con buena velocidad",GRACIAS
138,01-12-23 19:32,10,EXCLENTE SERVICIO,"simple and clear, with good speed"
139,01-12-23 19:33,9,POR LA FLEXIBILIDAD Y PRECIO,THE SERVICE ON THE PLATFORM IS EXCELLENT
140,01-12-23 19:34,9,El servicio fue rapido,EXCELLENT SERVICE
141,01-12-23 19:36,10,MUY BUENA APLICACION,FOR THE FLEXIBILITY AND PRICE
142,01-12-23 19:37,10,economia y facilidad,The service was fast
143,01-12-23 19:38,9,OK,VERY GOOD APPLICATION
144,01-12-23 19:40,10,rapidez,economy and ease
145,01-12-23 19:40,10,High quality attention and service,OK
146,01-12-23 19:44,10,Es fácil,High quality attention and service
147,01-12-23 19:47,10,Sí recomendaría,speed
148,01-12-23 19:48,9,Facil de reservar,It is easy
149,01-12-23 19:55,10,FACIL,yes i would recommend
150,01-12-23 19:55,9,"Es práctica su página WEB, gracias.",easy to book
151,01-12-23 19:57,10,exelente  tiempo,"Your web page is practical, thank you."
152,01-12-23 19:58,10,sii,EASY
153,01-12-23 19:58,10,Precios accesibles,excellent time
154,01-12-23 20:00,10,Ha sido muy clara,Give
155,01-12-23 20:01,9,agilidad en el servicio,accessible prices
156,01-12-23 20:02,9,muy facil y rapido,It has been very clear
157,01-12-23 20:04,4,poor,service agility
158,01-12-23 20:04,10,practica,very easy and fast
159,01-12-23 20:08,10,Me gusta,poor
160,01-12-23 20:09,10,facil y rapido,practice
161,01-12-23 20:11,10,bueno,I like
162,01-12-23 20:11,10,el precio y facil de usar su pagina,fast and easy
163,01-12-23 20:16,10,por que es muy buen servicio para los clientes,bueno
164,01-12-23 20:17,10,Me gusta mucho la plataforma y la facilidad con la que podemos usar esto,the price and easy to use your page
165,01-12-23 20:17,8,Varios certificados,because it is very good service for customers
166,01-12-23 20:18,9,MUY BIEN,I really like the platform and the ease with which we can use this
167,01-12-23 20:18,10,es buena,various certificates
168,01-12-23 20:20,8,"ME PARECE POCO CONFIABLE QUE AL VISUALIZAR LOS PRECIOS DE LOS ASIENTOS, PRIMERO MUESTRA UN PRECIO BAJO, Y AL DARLE CLICK PARA SELECCIONAR EL ASIENTO, EL PRECIO AUMENTA Y NO ES EL MISMO QUE SE MOSTRABA ANTES DE SELECCIONARLO.",it's good
169,01-12-23 20:24,10,OK,VERY GOOD
170,01-12-23 20:25,8,tuve ´problemas con la tarjeta de crediro visa de EEUU,"IT SEEMS UNRELIABLE TO ME THAT WHEN VIEWING THE PRICES OF THE SEATS, FIRST IT SHOWS A LOW PRICE, AND WHEN YOU CLICK TO SELECT THE SEAT, THE PRICE INCREASES AND IS NOT THE SAME AS IT WAS DISPLAYED BEFORE SELECTING IT."
171,01-12-23 20:26,10,Muy accesible y facil de usar la plataforma,OK
172,01-12-23 20:27,8,En ser mas claro en el formato de reservaciones,I had problems with the US visa credit card
173,01-12-23 20:27,10,BIEN,Very accessible and easy to use platform
174,01-12-23 20:29,10,todo rapido y agil,In being clearer in the reservation format
175,01-12-23 20:31,10,.,GOOD
176,01-12-23 20:35,10,Son bien chidos!,all fast and agile
177,01-12-23 20:36,2,"no aceptan ninguna tarjeta ya, tarjetas visa y american express salia que no se podia pagar con ellas",
178,01-12-23 20:38,10,Todo bien,They are very cool!
179,01-12-23 20:40,9,NINGUNO,"They don't accept any card anymore, Visa and American Express cards came out that you couldn't pay with them"
180,01-12-23 20:40,10,BIEN,All good
181,01-12-23 20:42,10,ALL GOOD,NONE
182,01-12-23 20:43,10,segura y eficiente,GOOD
183,01-12-23 20:43,10,eficaces,ALL GOOD
184,01-12-23 20:47,7,SER MAS ACCESIBLES CON LAS MALETAS,efficiencies
185,01-12-23 20:54,7,Dando opción de elegir si tu quieres algo y no tener que verlo y luego elegir,safe and efficient
186,01-12-23 20:56,10,Muy amigable,BE MORE ACCESSIBLE WITH SUITCASES
187,01-12-23 21:04,2,"simplificando su pagina, que sea mas fácil de usar, esta demasiado llena de palabras y frases innecesarias",Giving you the option to choose if you want something and not have to see it and then choose
188,01-12-23 21:06,10,SON EFICASES,Very friendly
189,01-12-23 21:07,1,cambiando toda la estructura de servicio al cliente. muy mal,"simplifying your page, making it easier to use, it is too full of unnecessary words and phrases"
190,01-12-23 21:09,10,rápida y segura,THEY ARE EFFECTIVE
191,01-12-23 21:10,8,Todo bien `por el momento,changing the entire customer service structure. very badly
192,01-12-23 21:13,0,te dicen un precio y al final es el triple,fast and safe
193,01-12-23 21:14,0,Como es posible que en cuestion de minutos hayan aumentado los precios de los vuelos que ya tenia seleccionados,All good for the moment
194,01-12-23 21:16,10,Es facil buscar los viajes,They tell you a price and in the end it is triple
195,01-12-23 21:17,7,dejen de poner por default las opciones de reembolso y sean mas claros con las tarifas.,How is it possible that in a matter of minutes the prices of the flights that I already had selected have increased
196,01-12-23 21:17,10,muy facil,It is easy to search for trips
197,01-12-23 21:21,10,BUEN SERVICIO,Stop putting the refund options by default and be more clear with the rates.
198,01-12-23 21:24,10,sencilla de usar,very easy
199,01-12-23 21:31,9,Buen servicio,GOOD SERVICE
200,01-12-23 21:33,10,BUEN SERVICIO,easy to use
201,01-12-23 21:42,10,esmuy practica y facil de usar,Good service
202,01-12-23 21:44,10,SUPER SENCILLA,GOOD SERVICE
203,01-12-23 21:47,9,Reservación sin contratiempos,it is very practical and easy to use
204,01-12-23 21:48,8,Better customer interface,SUPER EASY
205,01-12-23 21:49,10,buena,hassle-free reservation
206,01-12-23 21:50,8,Buena plataforma -,Better customer interface
207,01-12-23 21:55,9,TODO MUY BIEN Y ACCESIBLE.,buena
208,01-12-23 21:56,2,Bajando los precios y sin cobrar selecciones no pedidas,Good platform -
209,01-12-23 22:11,10,por buena linea,ALL VERY WELL AND ACCESSIBLE.
210,01-12-23 22:16,10,Muy fácil y sencillo seguir los pasos para el llenado,Lowering prices and not charging for unordered selections
211,01-12-23 22:17,10,Rápido y sencillo de utilizar.,by good line
212,01-12-23 22:18,7,"hay demasiadas cosas para agregar y es difícil pasar al siguiente paso, sé que es para que la gente agregue cosas al carrito pero para algún adulto mayor hace imposible comprar boletos de avion",Very easy and simple to follow the steps for filling
213,01-12-23 22:19,10,Facil y con información pregargada. opciones de pagos sin intereses,Quick and easy to use.
214,01-12-23 22:20,6,SIN TANTOS CARGOS ADICIONALES,"there are too many things to add and it is difficult to go to the next step, I know it is for people to add things to the cart but for some elderly it makes it impossible to buy plane tickets"
215,01-12-23 22:21,10,Muy facil de usar,Easy and with preloaded information. interest-free payment options
216,01-12-23 22:21,10,muy eficiente,WITHOUT SO MANY ADDITIONAL CHARGES
217,01-12-23 22:25,8,PONEN DEMASIADAS PROMOCIONES LO HACE MAS TARDADO,very efficient
218,01-12-23 22:30,5,mejorar,very easy to use
219,01-12-23 22:34,10,por su excelente servicio,THEY PUT TOO MANY PROMOTIONS IT DOES IT LATE
220,01-12-23 22:35,7,Primero ofrecio meses sin intereses y una hora despues ya no,improve
221,01-12-23 22:35,10,SERVICIO RAPIDO Y EFICIENTE,for your excellent service
222,01-12-23 22:38,10,Practico,FAST AND EFFICIENT SERVICE
223,01-12-23 22:40,10,TARIFAS DECENTES,First he offered months without interest and an hour later he no longer
224,01-12-23 22:40,7,Dificil de buscar como quitar re-embolso completo!,Practical
225,01-12-23 22:44,10,TIENEN EXCELENTE SERVICIO,DECENT RATES
226,01-12-23 22:45,10,porque tienen buen servicio,Difficult to find how to remove full refund!
227,01-12-23 22:47,7,MUCHAS PREGUNTAS,THEY HAVE EXCELLENT SERVICE
228,01-12-23 22:56,10,Eficiencia y servicio,because they have good service
229,01-12-23 23:01,3,wouldnt except me credit cards,MANY QUESTIONS
230,01-12-23 23:10,9,saquen las chelas en los vuelos!!,Efficiency and service
231,01-12-23 23:12,8,Es muy facil y muy economica,wouldnt except me credit cards
232,01-12-23 23:14,10,TODO BIEN,take out the chelas on the flights!!
233,01-12-23 23:18,9,Precios solidarios y facilidad en pagina web,It is very easy and very cheap
234,01-12-23 23:19,10,muy rapido y facil,ALL GOOD
235,01-12-23 23:19,8,MAS RAPIDES,Solidarity prices and ease on the website
236,01-12-23 23:21,10,.,QUICK MAS
237,01-12-23 23:24,10,fue muy fácil y práctico,very fast and easy
238,01-12-23 23:24,10,SIEMPRE ME HAN CUMPLIDO,
239,01-12-23 23:25,10,TA BIEN,I HAVE ALWAYS FULFILLED
240,01-12-23 23:26,10,BUENA PAGINA Y MUY BUENOS DESCUENTOS Y/O PRECIOS,it was very easy and practical
241,01-12-23 23:30,10,Excelente servicio,YOUR WELL
242,01-12-23 23:30,10,Por que la app y el servicio telefonio fallan demasiado,GOOD PAGE AND VERY GOOD DISCOUNTS AND/OR PRICES
243,01-12-23 23:36,10,Es muy amigable y facil de usar,Excellent service
244,01-12-23 23:37,10,Es fácil la reservación de vuelos,Why the app and the phone service fail too much
245,01-12-23 23:37,7,bajando el tua,It is very friendly and easy to use
246,01-12-23 23:38,0,NO RECOMENDABLE,Flight booking is easy
247,01-12-23 23:38,9,interfaz amigable,lowering the tua
248,01-12-23 23:38,9,muy buena app,friendly interface
249,01-12-23 23:41,10,Es entendible y muy practica en el proceso de reserva de vuelo.,very good app
250,01-12-23 23:46,9,POR LA FACILIDAD DE OBTENER EL Pase DE ABORDAR,NOT RECOMMENDABLE
251,01-12-23 23:48,9,AVECES ES MUY LENTO,She is understandable and very practical in the flight reservation process.
252,01-12-23 23:50,8,NO PUDE REALIZAR MI PAGO - FUE MUY LENTO EL PROCESO HASTA QUE SE  ME AGOTÓ LA SESION - INTENTÉ LLAMAR PERO TAMPOCO LA LINEA TELEFONICA -ME SALIA ERROR EN LA LLAMADA,BECAUSE OF THE EASE OF OBTAINING THE BOARDING PASS
253,01-12-23 23:50,7,no oculten los botones,SOMETIMES IT'S VERY SLOW
254,01-12-23 23:52,10,"es facil de hacer la reservacion, nunca tengo problemas",I COULD NOT MAKE MY PAYMENT - THE PROCESS WAS VERY SLOW UNTIL THE SESSION RUN OUT - I TRIED TO CALL BUT THE TELEPHONE LINE DIDN'T EITHER - I GOT AN ERROR IN THE CALL
255,01-12-23 23:52,10,"FACIL, RAPIDO Y SEGURO...",don't hide the buttons
256,01-12-23 23:55,10,Es amigable la pagina.,"It is easy to make the reservation, I never have problems"
257,01-12-23 23:58,10,Muy amigable la página,"EASY, FAST AND SAFE..."
258,01-12-23 23:58,10,Muy facil de utilizar,The page is friendly.
259,02-01-23 00:02,10,UNA APP MUY AMIGABLE,Very friendly page
260,02-01-23 00:03,10,Gracias! It was very easy!,Very easy to use
261,02-01-23 00:08,10,rapidez,A VERY FRIENDLY APP
262,02-01-23 00:10,7,"Está tan saturada de información, ofertas de cosas y opciones, que se vuelve confuso.",Gracias! It was very easy!
263,02-01-23 00:10,10,0,speed
264,02-01-23 00:12,6,HAY DEMASIADAS TRAMPAS Y TIENES QUE HACERLO MAS LENTO SINO ESTAS PAGANDO UN VUELO MUY CARO,"It is so saturated with information, offers of things and options, that it becomes confusing."
265,02-01-23 00:13,10,POR LO AMIGABLE Y CLARA,THERE ARE TOO MANY TRAPS AND YOU HAVE TO SLOW IT DOWN OR YOU ARE PAYING A VERY EXPENSIVE FLIGHT
266,02-01-23 00:13,10,eficiente,efficient
267,02-01-23 00:16,10,simple y facil de manejar,FOR THE FRIENDLY AND CLEAR
268,02-01-23 00:16,8,Menos buscar como venderme mas cosas,simple and easy to handle
269,02-01-23 00:17,10,POR FACILIDAD DE PAGO,Less looking for how to sell more things
270,02-01-23 00:19,9,Muy util,FOR EASE OF PAYMENT
271,02-01-23 00:19,6,Los vuelos de ida y regreso son nconfusos,Roundtrip flights are confusing
272,02-01-23 00:23,10,,Very useful
273,02-01-23 00:23,10,EXCELENCIA,excellent service
274,02-01-23 00:23,10,excelente servicio,EXCELLENCE
275,02-01-23 00:25,10,BUENA,BUENA
276,02-01-23 00:25,9,agil y seguro,agile and safe
277,02-01-23 00:27,10,Me gusta,I like
278,02-01-23 00:28,10,BUEN SERVICIO,GOOD SERVICE
279,02-01-23 00:28,10,Excelente,Great
280,02-01-23 00:29,5,Haciendo menos engorroso el proceso de reservación,Making the reservation process less cumbersome
281,02-01-23 00:30,9,Los pasos están claros,the steps are clear
282,02-01-23 00:31,10,SIEMPRE HE VIAJADO CON USTEDES Y ME PARECE QUE LA PAGINA ESTA MUY DIGERIBLE Y FACIL DE ACCESAR. EXCELENTE SERVICIO,I HAVE ALWAYS TRAVELED WITH YOU AND I THINK THAT THE PAGE IS VERY DIGESTIBLE AND EASY TO ACCESS. EXCELLENT SERVICE
283,02-01-23 00:34,10,TODO MUY BIEN,ALL VERY WELL
284,02-01-23 00:35,10,es muy digerida y fácil  en sus pasos,it is very digested and easy in its steps
285,02-01-23 00:36,9,Ya he reservado y viajado en otras ocasiones.,I have already booked and traveled on other occasions.
286,02-01-23 00:38,0,Be Volaris,Be Volaris
287,02-01-23 00:39,10,Muy amigable la navegacion,Very friendly navigation
288,02-01-23 00:43,5,clarificar bien los costos,easy
289,02-01-23 00:43,10,facil,clarify the costs well
290,02-01-23 00:45,7,"Demasiados add ons , seria mas conveniente toda la informacion en un paquete que agregar cada paso","Too many add ons, it would be more convenient all the information in one package than adding each step"
291,02-01-23 00:47,9,eficiencia,efficiency
292,02-01-23 00:48,10,TODO BIEN,ALL GOOD
293,02-01-23 00:54,9,buenos precios,good prices
